ID	numPRDM9BoundPeaks
LIHC_TCGA-BC-A10W-01A	39629
LIHC_TCGA-BC-A10X-01A	41763
LIHC_TCGA-BC-A3KF-01A	41012
LIHC_TCGA-BC-A5W4-01A	41536
LIHC_TCGA-BC-A8YO-01A	39648
LIHC_TCGA-CC-A123-01A	38612
LIHC_TCGA-CC-A7IF-01A	39161
LIHC_TCGA-DD-AAC8-01A	41222
LIHC_TCGA-DD-AACB-01A	42786
LIHC_TCGA-DD-AACI-01A	39941
LIHC_TCGA-DD-AACL-01A	40451
LIHC_TCGA-G3-AAV0-01A	36300
LIHC_TCGA-LG-A9QC-01A	38081
LIHC_TCGA-LG-A9QD-01A	40971
LUAD_TCGA-44-3918-01A	48622
LUAD_TCGA-44-6146-01A	45158
LUAD_TCGA-44-A47F-01A	45612
LUAD_TCGA-49-AARO-01A	44488
LUAD_TCGA-4B-A93V-01A	47435
LUAD_TCGA-73-A9RS-01A	42065
LUAD_TCGA-86-A4D0-01A	44541
LUAD_TCGA-86-A4P7-01A	45956
LUAD_TCGA-86-A4P8-01A	45317
LUAD_TCGA-91-A4BC-01A	48481
LUAD_TCGA-91-A4BD-01A	47077
LUAD_TCGA-93-A4JN-01A	47652
LUAD_TCGA-93-A4JO-01A	44986
LUAD_TCGA-93-A4JQ-01A	47502
LUAD_TCGA-L4-A4E6-01A	48001
LUAD_TCGA-L9-A8F4-01A	46579
LUAD_TCGA-MP-A4SV-01A	48735
LUAD_TCGA-MP-A4T4-01A	45907
LUAD_TCGA-MP-A4T7-01A	45698
LUAD_TCGA-MP-A4TE-01A	47578
LUAD_TCGA-MP-A4TF-01A	49094
LUAD_TCGA-NJ-A4YG-01A	47002
LUSC_TCGA-33-A4WN-01A	44059
LUSC_TCGA-37-A5EM-01A	43372
LUSC_TCGA-63-A5MR-01A	37177
LUSC_TCGA-77-A5G6-01A	44380
LUSC_TCGA-85-A4CL-01A	43092
LUSC_TCGA-85-A4CN-01A	42488
LUSC_TCGA-85-A4JB-01A	34808
LUSC_TCGA-85-A4QR-01A	41702
LUSC_TCGA-85-A50M-01A	38386
LUSC_TCGA-85-A512-01A	41446
LUSC_TCGA-98-A53A-01A	44627
LUSC_TCGA-98-A53J-01A	44853
LUSC_TCGA-J1-A4AH-01A	43395
LUSC_TCGA-MF-A522-01A	39314
LUSC_TCGA-O2-A52N-01A	37723
LUSC_TCGA-XC-AA0X-01A	42355
MESO_TCGA-3U-A98E-01A	32213
MESO_TCGA-3U-A98I-01A	34613
MESO_TCGA-LK-A4NW-01A	32686
MESO_TCGA-LK-A4NY-01A	34536
MESO_TCGA-LK-A4O6-01A	25866
MESO_TCGA-MQ-A4KX-01A	32920
MESO_TCGA-SH-A9CU-01A	34461
PCPG_TCGA-QT-A5XJ-01A	32484
PCPG_TCGA-QT-A5XM-01A	36337
PCPG_TCGA-QT-A5XN-01A	36204
PCPG_TCGA-QT-A69Q-01A	35746
PCPG_TCGA-RM-A68W-01A	36180
PCPG_TCGA-RT-A6YA-01A	35955
PCPG_TCGA-RW-A8AZ-01A	36033
PCPG_TCGA-TT-A6YP-01A	36807
PCPG_TCGA-WB-A818-01A	35565
PRAD_TCGA-EJ-7218-01B	40808
PRAD_TCGA-EJ-7318-01B	42154
PRAD_TCGA-EJ-A46B-01A	42185
PRAD_TCGA-EJ-A46D-01A	42203
PRAD_TCGA-EJ-A46E-01A	44101
PRAD_TCGA-EJ-A46F-01A	41140
PRAD_TCGA-EJ-A46G-01A	41086
PRAD_TCGA-EJ-A46H-01A	42703
PRAD_TCGA-EJ-A65B-01A	39938
PRAD_TCGA-EJ-A65F-01A	43458
PRAD_TCGA-EJ-A7NG-01A	42027
PRAD_TCGA-EJ-A7NM-01A	38211
PRAD_TCGA-EJ-A8FN-01A	40674
PRAD_TCGA-EJ-A8FP-01A	42958
PRAD_TCGA-KC-A4BV-01A	41762
PRAD_TCGA-SU-A7E7-01A	40180
PRAD_TCGA-VN-A88K-01A	40951
PRAD_TCGA-VP-A875-01A	42573
PRAD_TCGA-YL-A8HJ-01A	43033
PRAD_TCGA-YL-A8SB-01A	42217
PRAD_TCGA-YL-A8SL-01B	39336
PRAD_TCGA-YL-A8SP-01B	36357
PRAD_TCGA-YL-A9WK-01A	40301
PRAD_TCGA-ZG-A9L0-01A	41066
PRAD_TCGA-ZG-A9L1-01A	39902
PRAD_TCGA-ZG-A9L2-01A	39670
SKCM_TCGA-D3-A8GM-06A	35835
